epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,3078.61,1.2232,0.56162,1.01168,0.97782,0.98027,0.98934,0.57926,1.30966,0.51626,0.90887,8.47e-05,8.47e-05,8.47e-05
53,3137.73,1.22911,0.57011,1.01055,0.98201,0.97686,0.98919,0.5857,1.3042,0.48332,0.90457,8.44e-05,8.44e-05,8.44e-05
54,3196.93,1.22039,0.56343,1.00841,0.98237,0.97818,0.99053,0.58025,1.31105,0.47729,0.90664,8.41e-05,8.41e-05,8.41e-05
55,3256.16,1.20905,0.55981,1.00562,0.97556,0.98295,0.99061,0.58786,1.28972,1.25443,0.90278,8.38e-05,8.38e-05,8.38e-05
56,3315.31,1.20815,0.55684,1.00606,0.97822,0.9805,0.99035,0.59039,1.28504,0.47684,0.89944,8.35e-05,8.35e-05,8.35e-05
57,3374.44,1.20685,0.55597,1.0007,0.97928,0.98171,0.99038,0.59694,1.27946,0.46754,0.89953,8.32e-05,8.32e-05,8.32e-05
58,3433.51,1.20051,0.55381,0.99579,0.97525,0.98582,0.99056,0.58682,1.29541,0.47471,0.90025,8.29e-05,8.29e-05,8.29e-05
59,3492.79,1.18809,0.53982,0.9945,0.97301,0.9821,0.99062,0.58911,1.28618,0.47433,0.89748,8.26e-05,8.26e-05,8.26e-05
60,3551.94,1.19229,0.54897,0.99684,0.9816,0.98366,0.99219,0.59667,1.27258,0.46151,0.8957,8.23e-05,8.23e-05,8.23e-05
61,3611.15,1.18983,0.55203,0.99609,0.98456,0.98065,0.99009,0.59417,1.26745,0.46665,0.89388,8.2e-05,8.2e-05,8.2e-05
62,3670.29,1.17965,0.54075,0.99124,0.98176,0.98536,0.99156,0.59953,1.24941,0.46278,0.89058,8.17e-05,8.17e-05,8.17e-05
63,3729.48,1.18009,0.55105,0.98727,0.98068,0.97796,0.99151,0.59916,1.24721,0.46814,0.88616,8.14e-05,8.14e-05,8.14e-05
64,3788.71,1.17913,0.54622,0.98819,0.98776,0.97373,0.99087,0.60403,1.2439,0.47025,0.88585,8.11e-05,8.11e-05,8.11e-05
65,3847.81,1.16429,0.53828,0.98553,0.98135,0.98458,0.9913,0.60722,1.24415,0.53668,0.88444,8.08e-05,8.08e-05,8.08e-05
66,3906.99,1.17612,0.53481,0.98906,0.98208,0.98441,0.99146,0.59848,1.26719,0.49983,0.89035,8.05e-05,8.05e-05,8.05e-05
67,3966.12,1.16456,0.53526,0.98828,0.98219,0.9857,0.99138,0.60694,1.24469,0.52957,0.88359,8.02e-05,8.02e-05,8.02e-05
68,4025.3,1.15629,0.52929,0.98513,0.98422,0.97792,0.99156,0.60652,1.23749,0.46297,0.88314,7.99e-05,7.99e-05,7.99e-05
69,4084.32,1.15791,0.52909,0.98796,0.98347,0.98418,0.99176,0.61236,1.22821,0.43824,0.88124,7.96e-05,7.96e-05,7.96e-05
70,4143.42,1.14713,0.5236,0.98035,0.98456,0.98605,0.99192,0.61494,1.22277,0.45541,0.8787,7.93e-05,7.93e-05,7.93e-05
71,4202.45,1.15119,0.52332,0.97891,0.98567,0.98494,0.99236,0.6113,1.22274,0.44399,0.8781,7.9e-05,7.9e-05,7.9e-05
72,4261.49,1.13611,0.51719,0.97696,0.98108,0.99022,0.99275,0.61326,1.21882,0.44455,0.87754,7.87e-05,7.87e-05,7.87e-05
73,4320.68,1.14042,0.52081,0.97967,0.98786,0.98257,0.99288,0.61618,1.2134,0.48652,0.87568,7.84e-05,7.84e-05,7.84e-05
74,4379.8,1.13219,0.52291,0.97402,0.9794,0.98968,0.9925,0.61882,1.20461,0.44798,0.8736,7.81e-05,7.81e-05,7.81e-05
75,4438.91,1.12554,0.51886,0.97521,0.98648,0.98374,0.99267,0.62497,1.19548,0.44233,0.87114,7.78e-05,7.78e-05,7.78e-05
76,4498.16,1.12296,0.51979,0.97466,0.98403,0.98599,0.99248,0.62374,1.19591,0.44246,0.871,7.75e-05,7.75e-05,7.75e-05
77,4557.33,1.11738,0.51127,0.96951,0.98207,0.98685,0.99238,0.62314,1.19696,0.44373,0.87189,7.72e-05,7.72e-05,7.72e-05
78,4616.45,1.12043,0.51673,0.96817,0.98178,0.98735,0.99238,0.62602,1.18551,0.46442,0.86872,7.69e-05,7.69e-05,7.69e-05
79,4675.64,1.11761,0.51007,0.97337,0.98756,0.98005,0.99298,0.62857,1.18616,0.50093,0.86719,7.66e-05,7.66e-05,7.66e-05
80,4734.75,1.11554,0.50639,0.96938,0.98229,0.986,0.99293,0.63061,1.18278,0.44346,0.86681,7.63e-05,7.63e-05,7.63e-05
81,4793.96,1.10587,0.51059,0.96833,0.98203,0.98781,0.99307,0.63118,1.17968,0.4379,0.8669,7.6e-05,7.6e-05,7.6e-05
82,4853.26,1.10218,0.50233,0.96329,0.98694,0.98032,0.99243,0.63081,1.1754,0.43546,0.86504,7.57e-05,7.57e-05,7.57e-05
83,4912.57,1.08865,0.49966,0.96378,0.97994,0.98705,0.99241,0.6351,1.17062,0.43346,0.86322,7.54e-05,7.54e-05,7.54e-05
84,4971.83,1.09293,0.5022,0.96108,0.9851,0.98362,0.99302,0.63722,1.16766,0.43064,0.86242,7.51e-05,7.51e-05,7.51e-05
85,5031.05,1.08674,0.50182,0.96252,0.98689,0.98001,0.99305,0.63735,1.16287,0.42936,0.86083,7.48e-05,7.48e-05,7.48e-05
86,5090.28,1.08363,0.49998,0.96209,0.98581,0.97845,0.99249,0.63885,1.16003,0.42514,0.86004,7.45e-05,7.45e-05,7.45e-05
87,5149.4,1.07476,0.49379,0.95511,0.98949,0.97727,0.99255,0.64489,1.15256,0.42694,0.85875,7.42e-05,7.42e-05,7.42e-05
88,5208.63,1.0816,0.49621,0.95992,0.98623,0.97734,0.99273,0.64194,1.1537,0.4216,0.85897,7.39e-05,7.39e-05,7.39e-05
89,5267.92,1.0722,0.4862,0.95892,0.98136,0.98758,0.99295,0.64799,1.14739,0.41625,0.85753,7.36e-05,7.36e-05,7.36e-05
90,5327.16,1.07036,0.49286,0.95816,0.9786,0.99108,0.99324,0.64875,1.14395,0.41516,0.85653,7.33e-05,7.33e-05,7.33e-05
91,5386.4,1.06392,0.49294,0.95796,0.97783,0.99057,0.99329,0.64855,1.14365,0.41329,0.85623,7.3e-05,7.3e-05,7.3e-05
92,5445.38,1.06462,0.4913,0.95111,0.97958,0.98952,0.99346,0.65094,1.13789,0.41137,0.85508,7.27e-05,7.27e-05,7.27e-05
93,5504.54,1.06412,0.49054,0.95223,0.97926,0.99069,0.99348,0.65102,1.13636,0.41091,0.85384,7.24e-05,7.24e-05,7.24e-05
94,5563.59,1.05017,0.48706,0.94769,0.97994,0.99125,0.99353,0.65289,1.13078,0.4079,0.85223,7.21e-05,7.21e-05,7.21e-05
95,5622.68,1.04121,0.47996,0.94606,0.97939,0.99025,0.99363,0.65387,1.12799,0.40868,0.85151,7.18e-05,7.18e-05,7.18e-05
96,5681.81,1.04272,0.48508,0.94735,0.98026,0.99026,0.99385,0.65448,1.12855,0.40735,0.8518,7.15e-05,7.15e-05,7.15e-05
97,5740.84,1.0337,0.47955,0.94561,0.98294,0.98859,0.99396,0.65303,1.12584,0.40705,0.85177,7.12e-05,7.12e-05,7.12e-05
98,5799.85,1.02992,0.47626,0.94278,0.98431,0.98893,0.99392,0.65499,1.12163,0.40563,0.85072,7.09e-05,7.09e-05,7.09e-05
99,5859.12,1.03821,0.48209,0.94683,0.98642,0.98792,0.99383,0.65562,1.11869,0.40371,0.8499,7.06e-05,7.06e-05,7.06e-05
100,5918.22,1.03269,0.48012,0.94387,0.9874,0.98762,0.9938,0.65637,1.11518,0.40323,0.84919,7.03e-05,7.03e-05,7.03e-05
101,5977.44,1.02516,0.47357,0.94234,0.98784,0.98753,0.99348,0.6573,1.11345,0.40275,0.8488,7e-05,7e-05,7e-05
102,6036.68,1.0173,0.47018,0.9402,0.98776,0.98812,0.99348,0.6571,1.11239,0.40122,0.84846,6.97e-05,6.97e-05,6.97e-05
103,6095.84,1.02387,0.47209,0.93814,0.98889,0.98861,0.99346,0.65885,1.10903,0.40152,0.84735,6.94e-05,6.94e-05,6.94e-05
104,6155.06,1.01117,0.47289,0.9381,0.98864,0.98762,0.99351,0.66079,1.10644,0.40099,0.84639,6.91e-05,6.91e-05,6.91e-05
105,6214.3,1.01122,0.46966,0.93854,0.98803,0.98746,0.99351,0.66125,1.10376,0.40023,0.84589,6.88e-05,6.88e-05,6.88e-05
106,6273.47,1.01278,0.47119,0.93705,0.98896,0.98728,0.99351,0.66185,1.10161,0.39879,0.8455,6.85e-05,6.85e-05,6.85e-05
107,6332.62,1.00751,0.46629,0.93524,0.98986,0.98815,0.99359,0.66365,1.0982,0.39844,0.84449,6.82e-05,6.82e-05,6.82e-05
108,6391.76,1.00117,0.46721,0.93284,0.9896,0.98945,0.99359,0.66315,1.09599,0.39786,0.84402,6.79e-05,6.79e-05,6.79e-05
109,6450.81,1.00566,0.4664,0.93795,0.98982,0.98895,0.99355,0.66516,1.09379,0.39562,0.84354,6.76e-05,6.76e-05,6.76e-05
110,6509.93,0.99689,0.46386,0.93322,0.98944,0.98911,0.99353,0.66751,1.09189,0.39608,0.84284,6.73e-05,6.73e-05,6.73e-05
